rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec,con
2960,Kepler-766,b,19h32m44.29s,19.5456354,+37d58m11.5s,37.969851,CYG
2961,Kepler-767,b,19h26m19.00s,19.438611533333336,+38d02m09.0s,38.035828,LYR
2962,Kepler-768,b,19h36m27.76s,19.6077104,+38d23m36.5s,38.393485,CYG
2963,Kepler-769,b,19h30m51.14s,19.514206733333328,+38d21m29.6s,38.358213,CYG
2964,Kepler-769,c,19h30m51.14s,19.514206733333328,+38d21m29.6s,38.358213,CYG
2965,Kepler-77,b,19h18m25.91s,19.307197066666667,+44d20m43.5s,44.345425,CYG
2966,Kepler-770,b,19h05m57.70s,19.099361866666666,+38d22m29.7s,38.374907,LYR
2967,Kepler-770,c,19h05m57.70s,19.099361866666666,+38d22m29.7s,38.374907,LYR
2968,Kepler-770,d,19h05m57.70s,19.099361866666666,+38d22m29.7s,38.374907,LYR
2969,Kepler-771,b,19h09m46.58s,19.162939333333334,+38d05m18.4s,38.088431,LYR
2970,Kepler-772,b,19h25m41.66s,19.428238866666668,+38d12m59.7s,38.216590999999994,LYR
2971,Kepler-773,b,19h23m32.32s,19.392311133333333,+38d03m27.2s,38.057567,LYR
2972,Kepler-774,b,19h24m07.66s,19.402128666666666,+38d12m43.0s,38.211956,LYR
2973,Kepler-775,b,19h25m43.99s,19.428886466666672,+41d42m12.4s,41.703438,LYR
2974,Kepler-776,b,19h09m05.43s,19.151509333333326,+41d38m08.0s,41.635559,LYR
2975,Kepler-777,b,18h50m53.77s,18.8482706,+44d20m47.3s,44.34647800000001,LYR
2976,Kepler-778,b,19h09m54.58s,19.165162466666672,+44d14m15.1s,44.237514000000004,LYR
2977,Kepler-779,b,19h02m30.85s,19.041902133333334,+44d18m39.2s,44.310889,LYR
2978,Kepler-78,b,19h34m58.01s,19.582779333333328,+44d26m54.0s,44.44833,CYG
2979,Kepler-780,b,18h47m03.93s,18.784425933333328,+44d17m33.2s,44.292549,LYR
2980,Kepler-781,b,19h10m36.87s,19.17690793333333,+47d24m53.3s,47.414811,LYR
2981,Kepler-782,b,19h15m28.38s,19.257882066666664,+47d45m34.0s,47.75943400000001,CYG
2982,Kepler-783,b,19h24m15.10s,19.404195733333328,+47d29m05.3s,47.484803,CYG
2983,Kepler-784,b,19h43m40.96s,19.7280442,+47d26m55.0s,47.448615999999994,CYG
2984,Kepler-785,b,19h28m16.39s,19.471220266666666,+38d50m32.1s,38.842261,CYG+LYR
2985,Kepler-786,b,19h34m58.55s,19.5829292,+38d56m21.4s,38.939276,CYG
2986,Kepler-787,b,19h26m46.19s,19.44616433333333,+38d34m22.5s,38.572907,LYR
2987,Kepler-788,b,19h20m00.10s,19.333360933333328,+38d32m23.6s,38.539892,LYR
2988,Kepler-789,b,19h43m54.04s,19.731676866666664,+38d56m47.9s,38.946652,CYG
2989,Kepler-79,b,20h02m04.11s,20.0344754,+44d22m53.7s,44.38158,CYG
2990,Kepler-79,c,20h02m04.11s,20.0344754,+44d22m53.7s,44.38158,CYG
2991,Kepler-79,d,20h02m04.11s,20.0344754,+44d22m53.7s,44.38158,CYG
2992,Kepler-79,e,20h02m04.11s,20.0344754,+44d22m53.7s,44.38158,CYG
2993,Kepler-790,b,19h07m40.11s,19.1278078,+38d52m20.0s,38.872221,LYR
2994,Kepler-791,b,19h34m23.00s,19.573056066666666,+39d01m46.1s,39.029477,CYG
2995,Kepler-792,b,19h28m01.64s,19.467120866666665,+38d49m14.6s,38.820733000000004,LYR
2996,Kepler-793,b,19h40m51.99s,19.68110933333333,+38d46m27.6s,38.774343,CYG
2997,Kepler-794,b,19h12m32.09s,19.2089134,+38d59m48.8s,38.996881,LYR
2998,Kepler-795,b,19h24m04.57s,19.401269733333333,+38d32m44.1s,38.54558,LYR
2999,Kepler-796,b,19h09m13.89s,19.15385713333333,+39d08m41.0s,39.144731,LYR
3000,Kepler-797,b,19h48m50.15s,19.813931,+41d46m54.1s,41.781708,CYG
3001,Kepler-798,b,19h29m54.77s,19.498547266666666,+42d08m32.2s,42.142291,CYG
3002,Kepler-799,b,19h08m41.97s,19.144992933333327,+44d52m42.9s,44.878571,LYR
3003,Kepler-8,b,18h45m09.15s,18.7525412,+42d27m03.9s,42.45108,LYR
3004,Kepler-80,b,19h44m27.02s,19.740837600000006,+39d58m43.6s,39.978778999999996,CYG
3005,Kepler-80,c,19h44m27.02s,19.740837600000006,+39d58m43.6s,39.978778999999996,CYG
3006,Kepler-80,d,19h44m27.02s,19.740837600000006,+39d58m43.6s,39.978778999999996,CYG
3007,Kepler-80,e,19h44m27.02s,19.740837600000006,+39d58m43.6s,39.978778999999996,CYG
3008,Kepler-80,f,19h44m27.02s,19.740837600000006,+39d58m43.6s,39.978778999999996,CYG
3009,Kepler-80,g,19h44m27.02s,19.740837600000006,+39d58m43.6s,39.978778999999996,CYG
3010,Kepler-800,b,19h06m17.96s,19.104988199999998,+44d47m42.7s,44.795204,LYR
3011,Kepler-801,b,19h04m18.06s,19.071682866666666,+44d39m52.7s,44.664639,LYR
3012,Kepler-802,b,19h04m03.81s,19.067723666666666,+45d00m28.0s,45.007767,LYR
3013,Kepler-803,b,19h56m53.19s,19.948107,+44d41m37.9s,44.693874,CYG
3014,Kepler-804,b,19h33m29.34s,19.558151333333328,+44d47m06.5s,44.785137,CYG
3015,Kepler-804,c,19h33m29.34s,19.558151333333328,+44d47m06.5s,44.785137,CYG
3016,Kepler-805,b,19h32m55.19s,19.548663,+45d03m11.9s,45.053314,CYG
3017,Kepler-806,b,19h44m01.69s,19.733802866666668,+44d51m12.4s,44.853443,CYG
3018,Kepler-807,b,19h16m04.84s,19.268011466666668,+48d07m11.3s,48.119811999999996,CYG
3019,Kepler-808,b,19h26m22.58s,19.439606,+48d26m44.2s,48.445614,CYG
3020,Kepler-809,b,19h16m20.07s,19.272242866666666,+48d01m05.3s,48.018131,CYG
3021,Kepler-81,b,19h34m32.87s,19.575796666666676,+42d49m29.9s,42.82497,CYG
3022,Kepler-81,c,19h34m32.87s,19.575796666666676,+42d49m29.9s,42.82497,CYG
3023,Kepler-81,d,19h34m32.87s,19.575796666666676,+42d49m29.9s,42.82497,CYG
3024,Kepler-810,b,19h46m27.57s,19.774323933333328,+48d04m57.5s,48.082645,CYG
3025,Kepler-811,b,19h01m41.83s,19.028284866666667,+47d50m04.6s,47.834614,DRA
3026,Kepler-812,b,19h15m25.27s,19.25701933333333,+48d12m30.7s,48.208538,CYG
3027,Kepler-813,b,19h02m39.05s,19.0441796,+48d26m07.3s,48.435371,DRA
3028,Kepler-814,b,18h59m38.52s,18.9940324,+48d25m53.9s,48.431644,DRA
