pl_hostname,pl_letter,con
30 Ari B,b,ARI
HAT-P-25,b,ARI
HAT-P-52,b,ARI
HD 12661,b,ARI
HD 12661,c,ARI
HD 14067,b,ARI
HD 17674,b,ARI
HIP 14810,b,ARI
HIP 14810,c,ARI
HIP 14810,d,ARI
WASP-11,b,ARI
alf Ari,b,ARI
