pl_hostname,pl_letter,con
6 Lyn,b,LYN
HD 75898,b,LYN
WASP-13,b,LYN
XO-2 N,b,LYN
XO-2 S,b,LYN
XO-2 S,c,LYN
XO-4,b,LYN
XO-5,b,LYN
