pl_hostname,pl_letter,con
2MASS J02192210-3925225,b,FOR+PHE
HD 16417,b,FOR
HD 20782,b,FOR
HD 20868,b,FOR
UZ For,b,FOR
UZ For,c,FOR
WASP-72,b,FOR
