pl_hostname,pl_letter,con
Kepler-1252,b,CYG
Kepler-1255,b,CYG
Kepler-1256,b,CYG
Kepler-1257,b,CYG
Kepler-1259,b,CYG
Kepler-126,b,CYG
Kepler-126,c,CYG
Kepler-126,d,CYG
Kepler-1260,b,CYG
Kepler-1264,b,CYG
Kepler-1267,b,CYG
Kepler-1275,b,CYG
Kepler-1277,b,CYG
Kepler-1280,b,CYG
Kepler-1281,b,CYG
Kepler-1282,b,CYG
Kepler-1283,b,CYG
Kepler-1284,b,CYG
Kepler-1287,b,CYG
Kepler-1289,b,CYG
Kepler-1290,b,CYG
Kepler-1293,b,CYG
Kepler-1294,b,CYG
Kepler-1295,b,CYG
Kepler-1296,b,CYG
Kepler-1297,b,CYG
Kepler-1302,b,CYG
Kepler-1305,b,CYG
Kepler-1306,b,CYG
Kepler-1307,b,CYG
Kepler-1309,b,CYG
Kepler-1311,b,CYG
Kepler-1311,c,CYG
Kepler-1312,b,CYG
Kepler-1313,b,CYG
Kepler-1314,b,CYG
Kepler-1315,b,CYG
Kepler-1316,b,CYG
Kepler-1319,b,CYG
Kepler-1321,b,CYG
Kepler-1321,c,CYG
Kepler-1322,b,CYG
Kepler-1323,b,CYG
Kepler-1326,b,CYG
Kepler-1327,b,CYG
Kepler-133,b,CYG
Kepler-133,c,CYG
Kepler-1331,b,CYG
Kepler-1332,b,CYG
Kepler-1333,b,CYG
Kepler-1334,b,CYG
Kepler-1336,b,CYG
Kepler-1336,c,CYG
Kepler-1340,b,CYG
Kepler-1342,b,CYG
Kepler-1343,b,CYG
Kepler-1345,b,CYG
Kepler-1346,b,CYG
Kepler-1347,b,CYG
Kepler-1348,b,CYG
Kepler-1351,b,CYG
Kepler-1352,b,CYG
Kepler-1353,b,CYG
Kepler-1357,b,CYG
Kepler-136,b,CYG
Kepler-136,c,CYG
Kepler-1360,b,CYG
Kepler-1363,b,CYG
Kepler-1364,b,CYG
Kepler-1365,b,CYG
Kepler-1365,c,CYG
Kepler-1367,b,CYG
Kepler-1368,b,CYG
Kepler-1371,b,CYG
Kepler-1371,c,CYG
Kepler-1372,b,CYG
Kepler-1374,b,CYG
Kepler-1375,b,CYG
Kepler-1377,b,CYG
Kepler-1378,b,CYG
Kepler-1379,b,CYG
Kepler-1381,b,CYG
Kepler-1382,b,CYG
Kepler-1383,b,CYG
Kepler-1384,b,CYG
Kepler-1387,b,CYG
Kepler-1390,b,CYG
Kepler-1391,b,CYG
Kepler-1392,b,CYG
Kepler-1395,b,CYG
Kepler-1396,b,CYG
Kepler-1397,b,CYG
Kepler-1398,b,CYG
Kepler-1398,c,CYG
Kepler-1399,b,CYG
Kepler-1402,b,CYG
Kepler-1404,b,CYG
Kepler-1405,b,CYG
Kepler-1406,b,CYG+LYR
Kepler-1409,b,CYG
Kepler-141,b,CYG
Kepler-141,c,CYG
Kepler-1412,b,CYG
Kepler-1413,b,CYG
Kepler-1416,b,CYG
Kepler-1419,b,CYG
Kepler-142,b,CYG
Kepler-142,c,CYG
Kepler-142,d,CYG
Kepler-1420,b,CYG
Kepler-1422,b,CYG
Kepler-1425,b,CYG
Kepler-1426,b,CYG
Kepler-1427,b,CYG
Kepler-1428,b,CYG
Kepler-143,b,CYG
Kepler-143,c,CYG
Kepler-1431,b,CYG
Kepler-1432,b,CYG
Kepler-1433,b,CYG
Kepler-1434,b,CYG
Kepler-1435,b,CYG
Kepler-1436,b,CYG
Kepler-1437,b,CYG
Kepler-1441,b,CYG
Kepler-1442,b,CYG
Kepler-1446,b,CYG
Kepler-1447,b,CYG
Kepler-1448,b,CYG
Kepler-1449,b,CYG
Kepler-145,b,CYG
Kepler-145,c,CYG
Kepler-1450,b,CYG
Kepler-1451,b,CYG
Kepler-1452,b,CYG
Kepler-1455,b,CYG
Kepler-146,b,CYG
Kepler-146,c,CYG
Kepler-1462,b,CYG
Kepler-1463,b,CYG
Kepler-1465,b,CYG
Kepler-1466,b,CYG
Kepler-1467,b,CYG
Kepler-1468,b,CYG
Kepler-1468,c,CYG
Kepler-1469,b,CYG
Kepler-1471,b,CYG
Kepler-1472,b,CYG
Kepler-1473,b,CYG
Kepler-1474,b,CYG
Kepler-1475,b,CYG
Kepler-1478,b,CYG
Kepler-148,b,CYG
Kepler-148,c,CYG
Kepler-148,d,CYG
Kepler-1480,b,CYG
Kepler-1481,b,CYG
Kepler-1483,b,CYG
Kepler-1484,b,CYG
Kepler-1485,b,CYG
Kepler-1486,b,CYG
Kepler-1487,b,CYG
Kepler-1490,b,CYG
Kepler-1491,b,CYG
Kepler-1496,b,CYG
Kepler-1497,b,CYG
Kepler-15,b,CYG
Kepler-1502,b,CYG
Kepler-1503,b,CYG
Kepler-1504,b,CYG
Kepler-1507,b,CYG
Kepler-1508,b,CYG
Kepler-151,b,CYG
Kepler-151,c,CYG
Kepler-1510,b,CYG
Kepler-1512,b,CYG
Kepler-1514,b,CYG
Kepler-1515,b,CYG
Kepler-1516,b,CYG
Kepler-1518,b,CYG
Kepler-1519,b,CYG
Kepler-1520,b,CYG
Kepler-1521,b,CYG
Kepler-1522,b,CYG
Kepler-1523,b,CYG
Kepler-1524,b,CYG
Kepler-1525,b,CYG
Kepler-1527,b,CYG
Kepler-1530,b,CYG
Kepler-1530,c,CYG
Kepler-1532,b,CYG
Kepler-1533,b,CYG
Kepler-1534,b,CYG
Kepler-1536,b,CYG
Kepler-1537,b,CYG
Kepler-154,b,CYG
Kepler-154,c,CYG
Kepler-154,d,CYG
Kepler-154,e,CYG
Kepler-154,f,CYG
Kepler-1543,b,CYG
Kepler-1544,b,CYG
Kepler-1545,b,CYG
Kepler-1546,b,CYG
Kepler-155,b,CYG
Kepler-155,c,CYG
Kepler-1551,b,CYG
