pl_hostname,pl_letter,con
HATS-30,b,TUC
HATS-34,b,TUC
HD 215497,b,TUC
HD 215497,c,TUC
HD 219077,b,TUC
HD 221287,b,TUC
HD 222076,b,TUC
HD 224538,b,TUC
HD 4308,b,TUC
HD 7199,b,TUC
WASP-91,b,TUC
