pl_hostname,pl_letter,con
GJ 581,b,LIB
GJ 581,c,LIB
GJ 581,e,LIB
HD 133131 A,b,LIB
HD 133131 A,c,LIB
HD 133131 B,b,LIB
HD 134987,b,LIB
HD 134987,c,LIB
HD 141937,b,LIB
WASP-57,b,LIB
